Palavra_correta,palavra_inicial,N_de_tentativas,Chutes,Vitoria
casca,serao,4,"('serao', 'mista', 'caspa', 'casca')",True
botar,serao,5,"('serao', 'lotar', 'notar', 'dotar', 'botar')",True
tinta,serao,4,"('serao', 'cinta', 'pinta', 'tinta')",True
prado,serao,4,"('serao', 'traco', 'irado', 'prado')",True
animo,serao,4,"('serao', 'laico', 'apito', 'animo')",True
bacia,serao,5,"('serao', 'cinta', 'quica', 'macia', 'bacia')",True
magia,serao,5,"('serao', 'cinta', 'duzia', 'labia', 'magia')",True
saque,serao,3,"('serao', 'saude', 'saque')",True
grato,serao,4,"('serao', 'traco', 'prato', 'grato')",True
bares,serao,3,"('serao', 'lares', 'bares')",True
rolos,serao,4,"('serao', 'ritos', 'rumos', 'rolos')",True
loura,serao,3,"('serao', 'loira', 'loura')",True
obvio,serao,4,"('serao', 'cinto', 'umido', 'obvio')",True
viola,serao,3,"('serao', 'otica', 'viola')",True
linda,serao,3,"('serao', 'cinta', 'linda')",True
sabio,serao,4,"('serao', 'salto', 'sadio', 'sabio')",True
cueca,serao,3,"('serao', 'etica', 'cueca')",True
santo,serao,3,"('serao', 'salto', 'santo')",True
couve,serao,3,"('serao', 'noite', 'couve')",True
susto,serao,3,"('serao', 'suino', 'susto')",True
ostra,serao,3,"('serao', 'raios', 'ostra')",True
altar,serao,4,"('serao', 'citar', 'lutar', 'altar')",True
furia,serao,4,"('serao', 'abril', 'guria', 'furia')",True
limpo,serao,3,"('serao', 'cinto', 'limpo')",True
trair,serao,3,"('serao', 'latir', 'trair')",True
idolo,serao,4,"('serao', 'cinto', 'umido', 'idolo')",True
deusa,serao,3,"('serao', 'cesta', 'deusa')",True
usura,serao,3,"('serao', 'brisa', 'usura')",True
cacar,serao,5,"('serao', 'citar', 'calar', 'cavar', 'cacar')",True
todas,serao,3,"('serao', 'molas', 'todas')",True
obter,serao,3,"('serao', 'comer', 'obter')",True
tampa,serao,4,"('serao', 'cinta', 'tumba', 'tampa')",True
fossa,serao,6,"('serao', 'coisa', 'lousa', 'nossa', 'bossa', 'fossa')",True
lavar,serao,4,"('serao', 'citar', 'lunar', 'lavar')",True
gueto,serao,4,"('serao', 'etico', 'dueto', 'gueto')",True
lunar,serao,3,"('serao', 'citar', 'lunar')",True
panda,serao,3,"('serao', 'cinta', 'panda')",True
vacuo,serao,4,"('serao', 'laico', 'canto', 'vacuo')",True
rigor,serao,4,"('serao', 'licor', 'vigor', 'rigor')",True
humor,serao,5,"('serao', 'licor', 'pudor', 'tutor', 'humor')",True
pulso,serao,3,"('serao', 'nisto', 'pulso')",True
terno,serao,3,"('serao', 'certo', 'terno')",True
aneis,serao,2,"('serao', 'aneis')",True
donos,serao,4,"('serao', 'mitos', 'nulos', 'donos')",True
coxao,serao,3,"('serao', 'licao', 'coxao')",True
civil,serao,3,"('serao', 'futil', 'civil')",True
bocal,serao,2,"('serao', 'bocal')",True
aroma,serao,5,"('serao', 'loira', 'troca', 'prova', 'aroma')",True
soldo,serao,4,"('serao', 'suino', 'solto', 'soldo')",True
morro,serao,5,"('serao', 'turco', 'lirio', 'morno', 'morro')",True
coxas,serao,5,"('serao', 'molas', 'todas', 'copas', 'coxas')",True
cupom,serao,3,"('serao', 'docil', 'cupom')",True
jogos,serao,6,"('serao', 'mitos', 'nulos', 'pocos', 'fogos', 'jogos')",True
furos,serao,5,"('serao', 'tiros', 'muros', 'duros', 'furos')",True
arcos,serao,3,"('serao', 'raios', 'arcos')",True
louca,serao,3,"('serao', 'otica', 'louca')",True
peste,serao,4,"('serao', 'tenis', 'leste', 'peste')",True
crise,serao,3,"('serao', 'riste', 'crise')",True
homem,serao,4,"('serao', 'noite', 'movel', 'homem')",True
duplo,serao,3,"('serao', 'cinto', 'duplo')",True
taxis,serao,3,"('serao', 'mista', 'taxis')",True
pauta,serao,4,"('serao', 'cinta', 'multa', 'pauta')",True
canja,serao,3,"('serao', 'cinta', 'canja')",True
cauda,serao,4,"('serao', 'cinta', 'calma', 'cauda')",True
dizer,serao,4,"('serao', 'tripe', 'rimel', 'dizer')",True
rapaz,serao,3,"('serao', 'citar', 'rapaz')",True
atlas,serao,4,"('serao', 'dicas', 'luvas', 'atlas')",True
sitio,serao,3,"('serao', 'suino', 'sitio')",True
guiar,serao,4,"('serao', 'citar', 'impar', 'guiar')",True
babar,serao,5,"('serao', 'citar', 'lunar', 'ambar', 'babar')",True
trono,serao,4,"('serao', 'litro', 'truco', 'trono')",True
trigo,serao,5,"('serao', 'litro', 'trico', 'tribo', 'trigo')",True
novos,serao,4,"('serao', 'mitos', 'nulos', 'novos')",True
massa,serao,3,"('serao', 'mista', 'massa')",True
horas,serao,3,"('serao', 'obras', 'horas')",True
junto,serao,3,"('serao', 'cinto', 'junto')",True
omega,serao,3,"('serao', 'poeta', 'omega')",True
salsa,serao,5,"('serao', 'sutia', 'samba', 'sanha', 'salsa')",True
pinho,serao,5,"('serao', 'cinto', 'lindo', 'pingo', 'pinho')",True
brisa,serao,2,"('serao', 'brisa')",True
ambos,serao,4,"('serao', 'coisa', 'altos', 'ambos')",True
guria,serao,3,"('serao', 'abril', 'guria')",True
brega,serao,4,"('serao', 'trela', 'areia', 'brega')",True
motim,serao,3,"('serao', 'docil', 'motim')",True
rumor,serao,6,"('serao', 'licor', 'pudor', 'tutor', 'humor', 'rumor')",True
sutia,serao,2,"('serao', 'sutia')",True
ducha,serao,3,"('serao', 'cinta', 'ducha')",True
misto,serao,3,"('serao', 'nisto', 'misto')",True
farto,serao,3,"('serao', 'parto', 'farto')",True
polen,serao,3,"('serao', 'noite', 'polen')",True
debil,serao,3,"('serao', 'cetim', 'debil')",True
dicas,serao,2,"('serao', 'dicas')",True
canto,serao,3,"('serao', 'laico', 'canto')",True
cargo,serao,4,"('serao', 'parto', 'barco', 'cargo')",True
seita,serao,2,"('serao', 'seita')",True
graus,serao,3,"('serao', 'brisa', 'graus')",True
baile,serao,3,"('serao', 'etica', 'baile')",True
zelar,serao,5,"('serao', 'pecar', 'vetar', 'gelar', 'zelar')",True
apelo,serao,3,"('serao', 'aceno', 'apelo')",True
arroz,serao,4,"('serao', 'porta', 'farol', 'arroz')",True
canoa,serao,4,"('serao', 'otica', 'coala', 'canoa')",True
perna,serao,4,"('serao', 'certa', 'perua', 'perna')",True
tarja,serao,5,"('serao', 'abril', 'turma', 'tarda', 'tarja')",True
fluxo,serao,4,"('serao', 'cinto', 'duplo', 'fluxo')",True
falar,serao,4,"('serao', 'citar', 'lunar', 'falar')",True
dobro,serao,4,"('serao', 'litro', 'couro', 'dobro')",True
orfao,serao,4,"('serao', 'irmao', 'orgao', 'orfao')",True
leite,serao,3,"('serao', 'cetim', 'leite')",True
curso,serao,2,"('serao', 'curso')",True
comer,serao,2,"('serao', 'comer')",True
cisne,serao,3,"('serao', 'uteis', 'cisne')",True
femea,serao,4,"('serao', 'celta', 'media', 'femea')",True
cheia,serao,3,"('serao', 'etica', 'cheia')",True
lugar,serao,4,"('serao', 'citar', 'lunar', 'lugar')",True
prazo,serao,5,"('serao', 'traco', 'irado', 'bravo', 'prazo')",True
letal,serao,4,"('serao', 'metal', 'fetal', 'letal')",True
secao,serao,2,"('serao', 'secao')",True
fiapo,serao,4,"('serao', 'laico', 'inato', 'fiapo')",True
vinte,serao,4,"('serao', 'clipe', 'imune', 'vinte')",True
puxao,serao,4,"('serao', 'licao', 'tufao', 'puxao')",True
reves,serao,4,"('serao', 'reles', 'redes', 'reves')",True
clipe,serao,2,"('serao', 'clipe')",True
tomar,serao,4,"('serao', 'lotar', 'tocar', 'tomar')",True
manto,serao,3,"('serao', 'laico', 'manto')",True
gesto,serao,3,"('serao', 'cesto', 'gesto')",True
praga,serao,4,"('serao', 'latir', 'praca', 'praga')",True
audio,serao,4,"('serao', 'laico', 'inato', 'audio')",True
ansia,serao,3,"('serao', 'mista', 'ansia')",True
tripe,serao,2,"('serao', 'tripe')",True
licor,serao,2,"('serao', 'licor')",True
alibi,serao,4,"('serao', 'cinta', 'habil', 'alibi')",True
inato,serao,3,"('serao', 'laico', 'inato')",True
lance,serao,3,"('serao', 'etica', 'lance')",True
redea,serao,4,"('serao', 'letra', 'renda', 'redea')",True
mutua,serao,4,"('serao', 'cinta', 'tumba', 'mutua')",True
vagao,serao,5,"('serao', 'licao', 'tufao', 'pavao', 'vagao')",True
lesma,serao,3,"('serao', 'cesta', 'lesma')",True
beira,serao,3,"('serao', 'letra', 'beira')",True
abono,serao,5,"('serao', 'laico', 'agudo', 'atomo', 'abono')",True
salao,serao,3,"('serao', 'sotao', 'salao')",True
russo,serao,4,"('serao', 'risco', 'rosto', 'russo')",True
caqui,serao,4,"('serao', 'cinta', 'capim', 'caqui')",True
pelos,serao,3,"('serao', 'meios', 'pelos')",True
servo,serao,3,"('serao', 'serio', 'servo')",True
facao,serao,5,"('serao', 'licao', 'nocao', 'opcao', 'facao')",True
barro,serao,4,"('serao', 'parto', 'barco', 'barro')",True
filme,serao,3,"('serao', 'clipe', 'filme')",True
rouca,serao,3,"('serao', 'loira', 'rouca')",True
nisto,serao,2,"('serao', 'nisto')",True
corar,serao,3,"('serao', 'coral', 'corar')",True
idade,serao,3,"('serao', 'etica', 'idade')",True
lisos,serao,4,"('serao', 'mitos', 'lidos', 'lisos')",True
selim,serao,2,"('serao', 'selim')",True
peixe,serao,3,"('serao', 'cetim', 'peixe')",True
untar,serao,4,"('serao', 'citar', 'lutar', 'untar')",True
sanar,serao,3,"('serao', 'sacar', 'sanar')",True
grana,serao,5,"('serao', 'latir', 'praca', 'drama', 'grana')",True
panos,serao,4,"('serao', 'coisa', 'altos', 'panos')",True
relva,serao,3,"('serao', 'letra', 'relva')",True
plena,serao,3,"('serao', 'etica', 'plena')",True
besta,serao,3,"('serao', 'cesta', 'besta')",True
banda,serao,4,"('serao', 'cinta', 'panda', 'banda')",True
sodio,serao,5,"('serao', 'suino', 'sitio', 'socio', 'sodio')",True
feira,serao,4,"('serao', 'letra', 'beira', 'feira')",True
pompa,serao,4,"('serao', 'otica', 'lomba', 'pompa')",True
veloz,serao,2,"('serao', 'veloz')",True
belas,serao,4,"('serao', 'teias', 'cenas', 'belas')",True
poema,serao,3,"('serao', 'poeta', 'poema')",True
tecla,serao,3,"('serao', 'celta', 'tecla')",True
adeus,serao,3,"('serao', 'aneis', 'adeus')",True
dobra,serao,4,"('serao', 'loira', 'cobra', 'dobra')",True
fruto,serao,5,"('serao', 'litro', 'truco', 'bruto', 'fruto')",True
sorte,serao,2,"('serao', 'sorte')",True
sabao,serao,4,"('serao', 'sotao', 'salao', 'sabao')",True
sushi,serao,3,"('serao', 'sutil', 'sushi')",True
quibe,serao,3,"('serao', 'clipe', 'quibe')",True
corno,serao,3,"('serao', 'turco', 'corno')",True
tenis,serao,2,"('serao', 'tenis')",True
tosco,serao,3,"('serao', 'nisto', 'tosco')",True
valsa,serao,4,"('serao', 'mista', 'blusa', 'valsa')",True
lacre,serao,3,"('serao', 'trela', 'lacre')",True
fosco,serao,4,"('serao', 'nisto', 'musgo', 'fosco')",True
nenem,serao,4,"('serao', 'cetim', 'jejum', 'nenem')",True
clero,serao,3,"('serao', 'treco', 'clero')",True
dever,serao,4,"('serao', 'medir', 'deter', 'dever')",True
duzia,serao,3,"('serao', 'cinta', 'duzia')",True
racao,serao,3,"('serao', 'irmao', 'racao')",True
terca,serao,3,"('serao', 'certa', 'terca')",True
sotao,serao,2,"('serao', 'sotao')",True
fuzue,serao,4,"('serao', 'clipe', 'duque', 'fuzue')",True
aviso,serao,3,"('serao', 'casto', 'aviso')",True
prole,serao,3,"('serao', 'comer', 'prole')",True
costa,serao,3,"('serao', 'coisa', 'costa')",True
manga,serao,4,"('serao', 'cinta', 'panda', 'manga')",True
metro,serao,4,"('serao', 'reino', 'cetro', 'metro')",True
pirar,serao,5,"('serao', 'viral', 'tirar', 'mirar', 'pirar')",True
verde,serao,4,"('serao', 'cerne', 'verme', 'verde')",True
unico,serao,3,"('serao', 'cinto', 'unico')",True
vacas,serao,5,"('serao', 'dicas', 'tacas', 'macas', 'vacas')",True
suado,serao,3,"('serao', 'salto', 'suado')",True
fixar,serao,6,"('serao', 'citar', 'pilar', 'ninar', 'mimar', 'fixar')",True
loiro,serao,3,"('serao', 'litro', 'loiro')",True
fogos,serao,5,"('serao', 'mitos', 'nulos', 'pocos', 'fogos')",True
dunas,serao,3,"('serao', 'dicas', 'dunas')",True
baixa,serao,5,"('serao', 'cinta', 'duzia', 'axila', 'baixa')",True
frevo,serao,4,"('serao', 'treco', 'freio', 'frevo')",True
terra,serao,3,"('serao', 'certa', 'terra')",True
calva,serao,5,"('serao', 'cinta', 'calma', 'calda', 'calva')",True
harpa,serao,6,"('serao', 'abril', 'turma', 'carpa', 'farpa', 'harpa')",True
dueto,serao,3,"('serao', 'etico', 'dueto')",True
prova,serao,4,"('serao', 'loira', 'troca', 'prova')",True
pluma,serao,3,"('serao', 'cinta', 'pluma')",True
irmao,serao,2,"('serao', 'irmao')",True
justa,serao,4,"('serao', 'mista', 'casta', 'justa')",True
pagar,serao,5,"('serao', 'citar', 'lunar', 'ambar', 'pagar')",True
farpa,serao,5,"('serao', 'abril', 'turma', 'carpa', 'farpa')",True
cerca,serao,3,"('serao', 'certa', 'cerca')",True
volei,serao,3,"('serao', 'noite', 'volei')",True
rosca,serao,3,"('serao', 'raios', 'rosca')",True
euros,serao,2,"('serao', 'euros')",True
curar,serao,3,"('serao', 'viral', 'curar')",True
fenda,serao,5,"('serao', 'celta', 'media', 'venda', 'fenda')",True
farra,serao,6,"('serao', 'abril', 'turma', 'carpa', 'farda', 'farra')",True
areas,serao,3,"('serao', 'estar', 'areas')",True
unhas,serao,4,"('serao', 'dicas', 'luvas', 'unhas')",True
nomes,serao,4,"('serao', 'poste', 'doces', 'nomes')",True
tabua,serao,4,"('serao', 'cinta', 'tumba', 'tabua')",True
gosma,serao,3,"('serao', 'coisa', 'gosma')",True
capuz,serao,3,"('serao', 'cinta', 'capuz')",True
ileso,serao,2,"('serao', 'ileso')",True
lenha,serao,4,"('serao', 'celta', 'lenda', 'lenha')",True
perua,serao,3,"('serao', 'certa', 'perua')",True
padre,serao,4,"('serao', 'trela', 'caber', 'padre')",True
fazer,serao,5,"('serao', 'trela', 'caber', 'haver', 'fazer')",True
tocar,serao,3,"('serao', 'lotar', 'tocar')",True
bruxo,serao,4,"('serao', 'litro', 'prumo', 'bruxo')",True
lojas,serao,3,"('serao', 'molas', 'lojas')",True
lerdo,serao,3,"('serao', 'certo', 'lerdo')",True
nisso,serao,3,"('serao', 'nisto', 'nisso')",True
golfo,serao,5,"('serao', 'cinto', 'duplo', 'lombo', 'golfo')",True
topar,serao,5,"('serao', 'lotar', 'tocar', 'tomar', 'topar')",True
usada,serao,4,"('serao', 'mista', 'blusa', 'usada')",True
ruivo,serao,4,"('serao', 'litro', 'primo', 'ruivo')",True
saude,serao,2,"('serao', 'saude')",True
nadar,serao,5,"('serao', 'citar', 'lunar', 'andar', 'nadar')",True
lixar,serao,6,"('serao', 'citar', 'pilar', 'lidar', 'ligar', 'lixar')",True
vidas,serao,3,"('serao', 'dicas', 'vidas')",True
pomba,serao,4,"('serao', 'otica', 'lomba', 'pomba')",True
exodo,serao,4,"('serao', 'etico', 'enjoo', 'exodo')",True
acola,serao,4,"('serao', 'otica', 'coala', 'acola')",True
dotar,serao,4,"('serao', 'lotar', 'notar', 'dotar')",True
batom,serao,3,"('serao', 'otica', 'batom')",True
ontem,serao,3,"('serao', 'noite', 'ontem')",True
torpe,serao,3,"('serao', 'norte', 'torpe')",True
oasis,serao,3,"('serao', 'coisa', 'oasis')",True
cloro,serao,3,"('serao', 'litro', 'cloro')",True
curva,serao,4,"('serao', 'abril', 'turma', 'curva')",True
surto,serao,2,"('serao', 'surto')",True
ricos,serao,3,"('serao', 'ritos', 'ricos')",True
ursos,serao,3,"('serao', 'ritos', 'ursos')",True
hiena,serao,3,"('serao', 'etica', 'hiena')",True
vasta,serao,6,"('serao', 'mista', 'casta', 'pasta', 'basta', 'vasta')",True
risos,serao,4,"('serao', 'ritos', 'ricos', 'risos')",True
febre,serao,5,"('serao', 'medir', 'rente', 'lebre', 'febre')",True
fumar,serao,5,"('serao', 'citar', 'lunar', 'mudar', 'fumar')",True
forum,serao,2,"('serao', 'forum')",True
lutar,serao,3,"('serao', 'citar', 'lutar')",True
catar,serao,3,"('serao', 'citar', 'catar')",True
trela,serao,2,"('serao', 'trela')",True
litro,serao,2,"('serao', 'litro')",True
surdo,serao,3,"('serao', 'surto', 'surdo')",True
menos,serao,3,"('serao', 'meios', 'menos')",True
choro,serao,4,"('serao', 'litro', 'couro', 'choro')",True
chefe,serao,3,"('serao', 'clipe', 'chefe')",True
vasto,serao,4,"('serao', 'casto', 'pasto', 'vasto')",True
cetim,serao,2,"('serao', 'cetim')",True
traco,serao,2,"('serao', 'traco')",True
cilio,serao,4,"('serao', 'cinto', 'ciclo', 'cilio')",True
extra,serao,3,"('serao', 'trela', 'extra')",True
greve,serao,5,"('serao', 'tripe', 'creme', 'breve', 'greve')",True
tapar,serao,4,"('serao', 'citar', 'atuar', 'tapar')",True
tufao,serao,3,"('serao', 'licao', 'tufao')",True
sarau,serao,2,"('serao', 'sarau')",True
rosas,serao,3,"('serao', 'tosar', 'rosas')",True
touro,serao,3,"('serao', 'litro', 'touro')",True
trapo,serao,3,"('serao', 'traco', 'trapo')",True
lirio,serao,3,"('serao', 'turco', 'lirio')",True
abano,serao,6,"('serao', 'laico', 'agudo', 'atomo', 'abono', 'abano')",True
delta,serao,3,"('serao', 'celta', 'delta')",True
cacao,serao,6,"('serao', 'licao', 'nocao', 'opcao', 'facao', 'cacao')",True
anzol,serao,3,"('serao', 'otica', 'anzol')",True
sarna,serao,3,"('serao', 'surda', 'sarna')",True
clave,serao,4,"('serao', 'etica', 'caule', 'clave')",True
refem,serao,3,"('serao', 'medir', 'refem')",True
hifen,serao,4,"('serao', 'clipe', 'enfim', 'hifen')",True
claro,serao,3,"('serao', 'traco', 'claro')",True
nasal,serao,4,"('serao', 'dicas', 'usual', 'nasal')",True
burra,serao,3,"('serao', 'abril', 'burra')",True
conde,serao,3,"('serao', 'noite', 'conde')",True
ponte,serao,4,"('serao', 'noite', 'monte', 'ponte')",True
ondas,serao,3,"('serao', 'molas', 'ondas')",True
quota,serao,4,"('serao', 'otica', 'ponta', 'quota')",True
mexer,serao,4,"('serao', 'medir', 'meter', 'mexer')",True
verba,serao,4,"('serao', 'certa', 'perua', 'verba')",True
aonde,serao,3,"('serao', 'poeta', 'aonde')",True
obras,serao,2,"('serao', 'obras')",True
idosa,serao,3,"('serao', 'coisa', 'idosa')",True
signo,serao,3,"('serao', 'suino', 'signo')",True
frias,serao,3,"('serao', 'irmas', 'frias')",True
lesao,serao,3,"('serao', 'tesao', 'lesao')",True
mundo,serao,3,"('serao', 'cinto', 'mundo')",True
genio,serao,4,"('serao', 'leito', 'medio', 'genio')",True
legal,serao,4,"('serao', 'metal', 'penal', 'legal')",True
tempo,serao,3,"('serao', 'leito', 'tempo')",True
ambar,serao,4,"('serao', 'citar', 'lunar', 'ambar')",True
culta,serao,3,"('serao', 'cinta', 'culta')",True
vinho,serao,5,"('serao', 'cinto', 'lindo', 'pingo', 'vinho')",True
livro,serao,3,"('serao', 'litro', 'livro')",True
ninho,serao,6,"('serao', 'cinto', 'lindo', 'pingo', 'vinho', 'ninho')",True
germe,serao,4,"('serao', 'cerne', 'verme', 'germe')",True
culto,serao,3,"('serao', 'cinto', 'culto')",True
pasto,serao,3,"('serao', 'casto', 'pasto')",True
podre,serao,4,"('serao', 'comer', 'nobre', 'podre')",True
mirar,serao,4,"('serao', 'viral', 'tirar', 'mirar')",True
teses,serao,3,"('serao', 'tenis', 'teses')",True
ebrio,serao,2,"('serao', 'ebrio')",True
naves,serao,3,"('serao', 'aneis', 'naves')",True
afago,serao,5,"('serao', 'laico', 'agudo', 'amago', 'afago')",True
laudo,serao,3,"('serao', 'laico', 'laudo')",True
ditar,serao,3,"('serao', 'citar', 'ditar')",True
selar,serao,2,"('serao', 'selar')",True
folia,serao,4,"('serao', 'otica', 'viola', 'folia')",True
pedal,serao,4,"('serao', 'metal', 'penal', 'pedal')",True
ninar,serao,4,"('serao', 'citar', 'pilar', 'ninar')",True
tirar,serao,3,"('serao', 'viral', 'tirar')",True
fugir,serao,3,"('serao', 'punir', 'fugir')",True
calor,serao,3,"('serao', 'loira', 'calor')",True
naval,serao,3,"('serao', 'vital', 'naval')",True
porta,serao,2,"('serao', 'porta')",True
amago,serao,4,"('serao', 'laico', 'agudo', 'amago')",True
ponta,serao,3,"('serao', 'otica', 'ponta')",True
calma,serao,3,"('serao', 'cinta', 'calma')",True
capaz,serao,4,"('serao', 'vital', 'pagam', 'capaz')",True
genro,serao,4,"('serao', 'reino', 'negro', 'genro')",True
almas,serao,5,"('serao', 'dicas', 'luvas', 'atlas', 'almas')",True
feias,serao,5,"('serao', 'teias', 'meias', 'veias', 'feias')",True
senao,serao,3,"('serao', 'secao', 'senao')",True
barco,serao,3,"('serao', 'parto', 'barco')",True
zonzo,serao,5,"('serao', 'cinto', 'mundo', 'longo', 'zonzo')",True
senha,serao,4,"('serao', 'seita', 'selva', 'senha')",True
focos,serao,5,"('serao', 'mitos', 'nulos', 'pocos', 'focos')",True
ossea,serao,3,"('serao', 'acoes', 'ossea')",True
rosto,serao,3,"('serao', 'risco', 'rosto')",True
socar,serao,3,"('serao', 'solar', 'socar')",True
carne,serao,3,"('serao', 'carie', 'carne')",True
garfo,serao,5,"('serao', 'parto', 'barco', 'fardo', 'garfo')",True
luvas,serao,3,"('serao', 'dicas', 'luvas')",True
chiar,serao,3,"('serao', 'citar', 'chiar')",True
vazao,serao,6,"('serao', 'licao', 'tufao', 'pavao', 'vagao', 'vazao')",True
porco,serao,4,"('serao', 'turco', 'circo', 'porco')",True
gases,serao,4,"('serao', 'aneis', 'males', 'gases')",True
umido,serao,3,"('serao', 'cinto', 'umido')",True
boina,serao,4,"('serao', 'otica', 'moida', 'boina')",True
lacos,serao,3,"('serao', 'coisa', 'lacos')",True
ferir,serao,4,"('serao', 'cerne', 'gerir', 'ferir')",True
media,serao,3,"('serao', 'celta', 'media')",True
roupa,serao,4,"('serao', 'loira', 'rouca', 'roupa')",True
duque,serao,3,"('serao', 'clipe', 'duque')",True
bonde,serao,4,"('serao', 'noite', 'conde', 'bonde')",True
tiros,serao,2,"('serao', 'tiros')",True
avaro,serao,3,"('serao', 'traco', 'avaro')",True
exato,serao,3,"('serao', 'aceno', 'exato')",True
docil,serao,2,"('serao', 'docil')",True
basta,serao,5,"('serao', 'mista', 'casta', 'pasta', 'basta')",True
viver,serao,5,"('serao', 'tripe', 'rimel', 'dizer', 'viver')",True
placa,serao,4,"('serao', 'cinta', 'ducha', 'placa')",True
disso,serao,5,"('serao', 'nisto', 'fisco', 'bispo', 'disso')",True
poros,serao,4,"('serao', 'tiros', 'muros', 'poros')",True
arame,serao,5,"('serao', 'trela', 'grade', 'praxe', 'arame')",True
outro,serao,3,"('serao', 'litro', 'outro')",True
sopas,serao,2,"('serao', 'sopas')",True
otima,serao,3,"('serao', 'otica', 'otima')",True
bruxa,serao,5,"('serao', 'latir', 'praca', 'ardua', 'bruxa')",True
raiva,serao,3,"('serao', 'latir', 'raiva')",True
museu,serao,4,"('serao', 'uteis', 'cuspe', 'museu')",True
astro,serao,2,"('serao', 'astro')",True
rente,serao,3,"('serao', 'medir', 'rente')",True
lombo,serao,4,"('serao', 'cinto', 'duplo', 'lombo')",True
bordo,serao,5,"('serao', 'turco', 'lirio', 'morno', 'bordo')",True
cinta,serao,2,"('serao', 'cinta')",True
manha,serao,5,"('serao', 'cinta', 'panda', 'manga', 'manha')",True
palco,serao,4,"('serao', 'laico', 'talco', 'palco')",True
peoes,serao,4,"('serao', 'meios', 'leoes', 'peoes')",True
folha,serao,5,"('serao', 'otica', 'lomba', 'folga', 'folha')",True
treco,serao,2,"('serao', 'treco')",True
casar,serao,3,"('serao', 'irmas', 'casar')",True
louco,serao,3,"('serao', 'cinto', 'louco')",True
turvo,serao,4,"('serao', 'turco', 'turno', 'turvo')",True
radio,serao,3,"('serao', 'traco', 'radio')",True
tipos,serao,3,"('serao', 'mitos', 'tipos')",True
somar,serao,5,"('serao', 'solar', 'socar', 'sonar', 'somar')",True
achar,serao,4,"('serao', 'citar', 'fucar', 'achar')",True
macho,serao,5,"('serao', 'laico', 'canto', 'vacuo', 'macho')",True
ajuda,serao,4,"('serao', 'cinta', 'pluma', 'ajuda')",True
times,serao,3,"('serao', 'uteis', 'times')",True
meter,serao,3,"('serao', 'medir', 'meter')",True
graca,serao,4,"('serao', 'latir', 'praca', 'graca')",True
mosca,serao,4,"('serao', 'coisa', 'tosca', 'mosca')",True
milha,serao,3,"('serao', 'cinta', 'milha')",True
carro,serao,5,"('serao', 'parto', 'barco', 'cargo', 'carro')",True
algum,serao,4,"('serao', 'cinta', 'album', 'algum')",True
conta,serao,3,"('serao', 'otica', 'conta')",True
nicho,serao,3,"('serao', 'cinto', 'nicho')",True
sabor,serao,3,"('serao', 'sobra', 'sabor')",True
natal,serao,3,"('serao', 'vital', 'natal')",True
tatil,serao,4,"('serao', 'cinta', 'latim', 'tatil')",True
cerne,serao,2,"('serao', 'cerne')",True
torta,serao,4,"('serao', 'porta', 'horta', 'torta')",True
apoio,serao,5,"('serao', 'laico', 'inato', 'audio', 'apoio')",True
simio,serao,4,"('serao', 'suino', 'sitio', 'simio')",True
fetal,serao,3,"('serao', 'metal', 'fetal')",True
hotel,serao,4,"('serao', 'noite', 'motel', 'hotel')",True
setor,serao,2,"('serao', 'setor')",True
vesgo,serao,3,"('serao', 'cesto', 'vesgo')",True
amada,serao,5,"('serao', 'cinta', 'pluma', 'gamba', 'amada')",True
firma,serao,3,"('serao', 'abril', 'firma')",True
habil,serao,3,"('serao', 'cinta', 'habil')",True
calca,serao,6,"('serao', 'cinta', 'calma', 'calda', 'calva', 'calca')",True
aspas,serao,5,"('serao', 'dicas', 'luvas', 'patas', 'aspas')",True
latas,serao,4,"('serao', 'dicas', 'luvas', 'latas')",True
quase,serao,4,"('serao', 'aneis', 'haste', 'quase')",True
creme,serao,3,"('serao', 'tripe', 'creme')",True
telha,serao,3,"('serao', 'celta', 'telha')",True
teias,serao,2,"('serao', 'teias')",True
assar,serao,4,"('serao', 'irmas', 'casar', 'assar')",True
lousa,serao,3,"('serao', 'coisa', 'lousa')",True
baque,serao,4,"('serao', 'etica', 'balde', 'baque')",True
rubro,serao,4,"('serao', 'litro', 'couro', 'rubro')",True
fotos,serao,4,"('serao', 'mitos', 'votos', 'fotos')",True
adiar,serao,6,"('serao', 'citar', 'impar', 'guiar', 'aliar', 'adiar')",True
dolar,serao,5,"('serao', 'lotar', 'colar', 'polar', 'dolar')",True
polar,serao,4,"('serao', 'lotar', 'colar', 'polar')",True
limao,serao,3,"('serao', 'licao', 'limao')",True
lanca,serao,3,"('serao', 'cinta', 'lanca')",True
coroa,serao,5,"('serao', 'porta', 'corda', 'corja', 'coroa')",True
pomar,serao,4,"('serao', 'lotar', 'boiar', 'pomar')",True
tripa,serao,3,"('serao', 'latir', 'tripa')",True
mesmo,serao,4,"('serao', 'cesto', 'vesgo', 'mesmo')",True
jegue,serao,4,"('serao', 'cetim', 'leque', 'jegue')",True
album,serao,3,"('serao', 'cinta', 'album')",True
custo,serao,3,"('serao', 'nisto', 'custo')",True
futil,serao,2,"('serao', 'futil')",True
laico,serao,2,"('serao', 'laico')",True
dedos,serao,4,"('serao', 'meios', 'pelos', 'dedos')",True
ganso,serao,5,"('serao', 'casto', 'lapso', 'manso', 'ganso')",True
